expert_type	hire_type	role_type	partner_name	agent_status_adj	attr_status_adj	training_wave	university	grad_year	major	remote	expert_cnt	ps_handle_min	ps_handle_cnt	ps_aht	ps_tnps_num	ps_tnps_denom	ps_tnps	exec_ps_aht_num	exec_ps_aht_denom
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	Junior	Business	Virtual	1	5050.433333	272	18.56777	14	33	42.4242	4230.383333	257
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University Of Texas - El Paso	Junior	Business	Virtual	1	9469.699999	669	14.155007	10	39	25.641	6728.266667	493
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Other	Sophomore	Business	Virtual	1	660.766666	17	38.868627	1	3	33.3333	343.15	9
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Junior	Business	Virtual	1	8752.716669	366	23.914526	14	25	56	6025.65	280
PathEDU	New Hire	PS	FOUNDEVER	TermBeforePeak	AttrBeforePeak	Wave 5	Marshall	Senior	Non-Business	Virtual	3	1903.716668	101	18.84868	2	8	25	2054.15	111
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	University Of Texas - El Paso	Senior	Non-Business	Onsite	1	154.4	8	19.3	null	null	null	181	9
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Arizona State University	Junior	Non-Business	Onsite	1	3041.533333	216	14.081173	16	24	66.6667	2238.25	168
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 7	USA | Arizona	NaN	Business	Onsite	2	1351.683333	61	22.158743	5	5	100	700.166666	30
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Texas - El Paso	Freshman	Business	Onsite	1	6642.049998	394	16.857995	35	47	74.4681	5093.833333	312
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	El Paso Community College	Sophomore	Non-Business	NaN	1	939.866668	108	8.702469	1	2	50	1737.583333	148
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of North Texas	Senior	Business	Virtual	1	4762.966666	229	20.798981	18	24	75	3351.616667	153
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Junior	Business	NaN	1	72.1	7	10.3	2	2	100	85.5	8
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Utah Valley University	Sophomore	Business	Onsite	1	11162.18333	456	24.478472	50	72	69.4444	7380.283333	372
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Senior	Non-Business	Virtual	2	19925.13334	1635	12.186626	36	136	26.4706	12650.03333	1106
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	El Paso Community College	Sophomore	Non-Business	Onsite	1	4436.583336	234	18.959758	7	16	43.75	4231.25	241
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Northern Kentucky University	Sophomore	Non-Business	Virtual	1	1573.7	129	12.199225	-2	4	-50	1517.266667	129
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	USA | Arizona	NaN	Business	Onsite	2	6998.399998	446	15.69148	16	38	42.1053	5257.45	360
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	El Paso Community College	Senior	Business	Virtual	1	3782.266666	160	23.639167	5	18	27.7778	3302.133333	143
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Brigham Young University	Freshman	Non-Business	Onsite	1	11822.98334	723	16.352674	27	56	48.2143	8298.8	639
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Arizona State University	Junior	Non-Business	Onsite	3	31999.26667	2076	15.413905	134	220	60.9091	21386.56667	1565
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University of Utah	Sophomore	Non-Business	Onsite	1	6144.050001	410	14.985488	19	32	59.375	4172.833333	312
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Arizona State University	Freshman	Non-Business	NaN	3	5232.649998	358	14.616341	14	28	50	5366.366667	373
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Utah	Sophomore	Business	Onsite	1	3342.666667	182	18.3663	22	23	95.6522	2507.116667	167
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Graduate	Business	Virtual	1	9448.233329	475	19.891018	24	42	57.1429	6274.666667	371
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	Northern Kentucky University	Freshman	Non-Business	Virtual	1	3414.916666	146	23.38984	4	14	28.5714	2020.816667	126
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Utah Valley University	Junior	Business	NaN	2	1473.350001	67	21.990299	1	10	10	1473.35	67
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Northern Kentucky University	NaN	Non-Business	Virtual	1	10881.61667	566	19.225471	21	45	46.6667	7419.3	407
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Other	Senior	Business	Onsite	1	88.966667	2	44.483334	null	null	null	88.966667	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Texas - El Paso	Junior	Business	Onsite	1	5599.816666	222	25.224399	7	21	33.3333	4798.25	217
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	University of Utah	Junior	Business	Onsite	1	1077.249999	66	16.32197	7	13	53.8462	698.216667	36
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Xavier University	Junior	Business	Virtual	1	3064.883333	95	32.26193	5	7	71.4286	1769.183333	65
