expert_type	hire_type	role_type	partner_name	agent_status_adj	attr_status_adj	training_wave	university	grad_year	major	remote	expert_cnt	ps_handle_min	ps_handle_cnt	ps_aht	ps_tnps_num	ps_tnps_denom
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	El Paso Community College	Junior	Business	Virtual	1	12645.21667	705	17.936478	30	65
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Texas - El Paso	Senior	Business	Virtual	1	10576.41666	541	19.549754	9	39
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University of Utah	Freshman	Non-Business	Onsite	1	9726.816667	695	13.99542	54	74
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	Arizona State University	Junior	Business	Onsite	1	730.65	51	14.326471	1	10
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Arizona State University	Senior	Business	Onsite	1	14317.48334	927	15.444966	34	74
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Graduate	Business	Virtual	1	9707.433335	458	21.195269	1	23
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	Arizona State University	Junior	Business	Onsite	1	91.566667	3	30.522222	null	null
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	Junior	Business	Virtual	1	5050.433333	272	18.56777	14	33
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Brigham Young University	Freshman	Non-Business	Onsite	1	11822.98334	723	16.352674	27	56
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Arizona State University	Junior	Non-Business	Onsite	3	31999.26667	2076	15.413905	134	220
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Texas - El Paso	Junior	Business	Onsite	1	5599.816666	222	25.224399	7	21
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	Arizona State University	Sophomore	Business	Onsite	1	9927.33333	832	11.931891	33	66
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Senior	Non-Business	NaN	1	1078.683334	55	19.612424	4	11
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of Texas - El Paso	Sophomore	Business	Virtual	1	591.316667	19	31.12193	2	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	University Of Arizona	Senior	Non-Business	Onsite	1	13460.85	1114	12.083348	31	80
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Junior	Non-Business	Onsite	1	2004.633331	114	17.584503	10	17
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Arizona State University	Junior	Non-Business	Onsite	2	14944.71667	639	23.387663	54	76
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 1	USA | Texas	NaN	Business	Onsite	2	3467.466666	322	10.76853	-5	24
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	Arizona State University	Freshman	Non-Business	Onsite	2	20570.95	1091	18.855133	64	96
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Arizona State University	Freshman	Business	Onsite	1	7852.116667	286	27.454953	24	35
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 5	Marshall	Junior	Non-Business	Virtual	3	13783.68333	798	17.272786	41	69
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 7	USA | Arizona	NaN	Business	Onsite	2	3457.933336	125	27.663467	6	10
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	University of Utah	Senior	Business	Onsite	1	564.266667	29	19.457471	0	2
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Freshman	Non-Business	NaN	1	1247.716667	70	17.824524	0	6
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Freshman	Business	NaN	1	19.1	3	6.366667	-1	1
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 2	Utah Valley University	Sophomore	Non-Business	Onsite	1	704.816668	34	20.729902	0	4
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 5	Arizona State University	Freshman	Business	Onsite	2	96.266667	5	19.253333	-1	1
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Other	Sophomore	Business	Virtual	1	660.766666	17	38.868627	1	3
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	University of North Texas	Senior	Business	Virtual	1	4762.966666	229	20.798981	18	24
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	El Paso Community College	Senior	Business	Virtual	1	3782.266666	160	23.639167	5	18
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 4	Northern Kentucky University	Freshman	Non-Business	Virtual	1	3414.916666	146	23.38984	4	14
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Sophomore	Non-Business	Onsite	1	7228.800004	314	23.021656	28	51
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	El Paso Community College	Other	Non-Business	Onsite	1	14296.23334	741	19.293162	26	50
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 4	University Of Texas - El Paso	Junior	Non-Business	Virtual	2	9161.333332	435	21.060536	26	42
PathEDU	New Hire	PS	FOUNDEVER	TermAfterPeak	AttrAfterPeak	Wave 6	Marshall	Senior	Non-Business	Virtual	1	2279.766666	132	17.27096	0	6
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 6	Remote Arizona	NaN	Business	Virtual	2	3691.149999	308	11.984253	8	18
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 5	Utah Valley University	Sophomore	Business	Onsite	1	6557.583333	419	15.650557	10	32
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 1	University Of Texas - El Paso	Junior	Non-Business	Onsite	4	38428.21667	1959	19.616241	51	147
PathEDU	New Hire	PS	EDUCATION AT WORK	TermBeforePeak	AttrBeforePeak	Wave 2	University Of Texas - El Paso	Sophomore	Non-Business	NaN	1	1837.666666	92	19.974638	0	4
PathEDU	New Hire	PS	EDUCATION AT WORK	TermAfterPeak	AttrAfterPeak	Wave 6	Remote Ohio	NaN	Business	Virtual	3	5342.649998	598	8.934197	7	21
